Occurred,City,State,Country,Shape,Summary,Link
2022-11-03 19:22:00,Madera,Chihuahua,Mexico,Fireball,Craft With Huge Tail Drops Tail and Travels Up and Away,https://nuforc.org/sighting/?id=172656
2022-08-29 06:15:00,Cancun,Quintana Roo,Mexico,Light,Bright object in the sky,https://nuforc.org/sighting/?id=171528
2022-08-09 03:30:00,Tijuana,Baja California,Mexico,Light,Green blue propulsion with sharp banking manuever,https://nuforc.org/sighting/?id=171018
2022-07-08 12:14:00,Merida,Yucatán,Mexico,Disk,I was on vacation in Mexico and I took my BeReal picture and I later noticed the UFO in the background.,https://nuforc.org/sighting/?id=172575
2022-06-05 21:54:00,Cabo San Lucas,Baja California Sur,Mexico,Formation,UFO siting appeared while taking pictures of the scenery from rooftop of hotel,https://nuforc.org/sighting/?id=168565
2022-05-08 21:20:00,Tulum,Quintana Roo,Mexico,Star,"Small dot of light, looked like a satellite, moving in straight line. Then, sudden change of direction, significant change of speed.",https://nuforc.org/sighting/?id=167788
2022-04-19 22:30:00,Cancun,Quintana Roo,Mexico,Star,"Looking at stars, we noticed a shooting star moving in an unnatural way.",https://nuforc.org/sighting/?id=167543
2022-04-07 21:49:00,Tenancingo,México,Mexico,Light,One solid light and one blinking light moving separately very erratically.,https://nuforc.org/sighting/?id=167420
2022-03-12 23:35:00,Xico,Veracruz,Mexico,Other,At least six lights locked together like attached to a dark hidden object moving slowly from north to south between two large t,https://nuforc.org/sighting/?id=170789
2022-02-23 14:00:00,Guadalupe,Nuevo León,Mexico,Sphere,I was doing a random search on Zoom Earth over the Pacific Ocean and found this image at the surface. See link.,https://nuforc.org/sighting/?id=166872
2022-01-20 18:00:00,Huejotzingo,Puebla,Mexico,Cigar,I was driving at 6pm from the airport and I spotted TWO cigar shapes near the volcano.,https://nuforc.org/sighting/?id=168579
2021-12-31 22:00:00,Cuautla,Morelos,Mexico,,Typical UFO right above my head about 20 meters stopped then started slowly rising and later disappeared into the horizon,https://nuforc.org/sighting/?id=170787
2021-12-24 12:43:00,Mexico City,Ciudad de México,Mexico,Disk,Saw a possible ufo flying high on top of the temple on Xmas eve.,https://nuforc.org/sighting/?id=166195
2021-12-15 11:30:00,Cabo San Lucas,Baja California Sur,Mexico,Light,"Saw bright moving objects in mid day sun, clear sky over ocean. One sped across the other super-fast. The 2nd came across sky, turned s",https://nuforc.org/sighting/?id=165880
2021-12-06 20:30:00,Oaxaca,Oaxaca,Mexico,Light,"Light descended toward steep mountains then blinked out. Later, same one, or different, went horizontally and blinked out.",https://nuforc.org/sighting/?id=165757
2021-12-06 20:00:00,Oaxaca,Oaxaca,Mexico,Light,Two bright objects that defied normal aircraft behavior.,https://nuforc.org/sighting/?id=165746
2021-11-21 19:00:00,Ciudad Madero,Tamaulipas,Mexico,,cluster of about 18 lights,https://nuforc.org/sighting/?id=165524
2021-10-28 20:00:00,Oaxaca,Oaxaca,Mexico,Chevron,Dimply Lit Chevron Over Oaxaca. ((NUFORC Note:  We have corrected the date.  PD)),https://nuforc.org/sighting/?id=165152
2021-10-28 20:00:00,Oaxaca,Oaxaca,Mexico,Chevron,Dimly Lit Chevron Over Oaxaca. ((NUFORC Note:  Wee have corrected the date.  PD)),https://nuforc.org/sighting/?id=165153
2021-05-28 04:00:00,San Nicolas de los Garza,Nuevo León,Mexico,Light,"A light appearing in the sea, splitting into few lights and going in and out of the water, no sound",https://nuforc.org/sighting/?id=178537
2021-03-01 17:43:00,Playas de Rosarito,Baja California,Mexico,Other,Kite looking hexagram above Rosarito Beach.,https://nuforc.org/sighting/?id=162323
2021-02-28 21:50:00,Monterrey,Nuevo León,Mexico,Changing,"I was putting my clothes to dry, when i noticed something floating but moving slowly in the sky , floating realtively close to the hous",https://nuforc.org/sighting/?id=162247
2021-01-24 09:00:00,Mazatlan,Sinaloa,Mexico,Sphere,I noticed a perfectly round ball traveling southbound on 1/24/21 at appt 9:00 a.m. in Mazatlan Mexico.  I thought it was a balloon at f,https://nuforc.org/sighting/?id=161740
2021-01-02 09:30:00,Cabo San Lucas,Baja California Sur,Mexico,Unknown,((NUFORC Note:  Witness does not provide any detailed information.  PD)),https://nuforc.org/sighting/?id=161414
2020-12-04 16:00:00,Puerto Morelos,Quintana Roo,Mexico,Sphere,saw 2 translucent/white objects moving quickly in sky,https://nuforc.org/sighting/?id=161061
2020-12-02 19:00:00,Mexico City,Ciudad de México,mexico,Sphere,"is still live on webcams de mexico or quantum noticias, it has been ther for more than 24hrs, it was impresive at dawn!!!! https://www.",https://nuforc.org/sighting/?id=160942
2020-10-26 04:17:00,Puerto Vallarta,Jalisco,Mexico,Changing,A cluster of oval shape objects lit up but change shape in videos or pics.,https://nuforc.org/sighting/?id=161226
2020-09-30 19:25:00,Salinas Victoria,Nuevo León,Mexico,Other,"An object in the shape of a crescent moon was observed at high altitude and speed, white as moonlight, with the circular part towards t",https://nuforc.org/sighting/?id=159626
2020-09-19 00:26:00,Tulum,Quintana Roo,Mexico,Circle,Fireball Cylinder Shaped Craft over Tulum.  Sspotted from Cozumel.,https://nuforc.org/sighting/?id=159478
2020-07-08 23:10:00,Tulum,Quintana Roo,Mexico,Light,What appeared to be a star high in the sky came shooting down and hovered about 50 to 60 feet above me for about 30 seconds,https://nuforc.org/sighting/?id=180648
2020-06-13 23:00:00,Mexico City,Ciudad de México,Mexico,Other,Group of stationary objects/lights hovering over the outskirts of the city at height of maybe 1-3 kilometers,https://nuforc.org/sighting/?id=157033
2020-04-23 21:30:00,Nuevo San Juan Parangaricutiro,Michoacán,Mexico,Other,"I saw a kind of star moving from left to the right with a tail of mini stars, it flay to the sky and disappeared. Maybe a meteorite or",https://nuforc.org/sighting/?id=155720
2020-02-15 19:50:00,Playas de Rosarito,Baja California,Mexico,Light,Look like  small Moon over water,https://nuforc.org/sighting/?id=153330
2020-02-01 00:30:00,Progreso,Yucatán,Mexico,Light,"Moving lights over Progresso, Yucatan Mexico.  Multiple whitnesses",https://nuforc.org/sighting/?id=153029
2019-09-29 19:35:00,Tijuana,Baja California,Mexico,Other,My remote started  glowing (again) and continued to do so after I took out the batteries.(again)  I noticed it after my dog got up off,https://nuforc.org/sighting/?id=149327
2019-08-30 22:00:00,Puerto Penasco,Sonora,Mexico,Sphere,"V-Shaped & Sphere Crafts observed in Rocky Point, Mexico",https://nuforc.org/sighting/?id=148676
2019-05-26 21:00:00,Uruapan,Michoacán,Mexico,Fireball,"Uruapan, Michoacan Mexico a Ex-Agent from the Mexican Secret Service was contactated by the local authorities to help in the investigat",https://nuforc.org/sighting/?id=146429
2019-05-26 19:30:00,Puerto Penasco,Sonora,Mexico,Light,On the beach SE of Puerto Penasco (Rocky Point).  Noticed a string of lights numbering 20+ moving.  ((NUFORC Note:  Satellites.  PD)),https://nuforc.org/sighting/?id=146389
2019-01-08 21:30:00,Mazatlan,Sinaloa,Mexico,Circle,We were sitting at the beach and looked up to see a ufo flying over us. It was circular and had two smaller circular ones that kept cha,https://nuforc.org/sighting/?id=145434
2018-08-29 20:19:00,Ensenada,Baja California,Mexico,Light,Multi-witness sighting of multiple nearly static glowing objects in the night sky at the Pacific coastline on 08-29-2018.,https://nuforc.org/sighting/?id=142923
2018-08-27 11:00:00,Guanajuato,Guanajuato,Mexico,Diamond,"Estaba en un parque eran aproximadamente las cuatro de la mañana venia de una fiesta volteamos nos sorprendió ver una nave ,muchos dic",https://nuforc.org/sighting/?id=143012
2018-04-20 06:30:00,Puerto Vallarta,Jalisco,Mexico,Light,Large white light speeds over Puerto Vallarta,https://nuforc.org/sighting/?id=139535
2018-01-25 18:30:00,Chilpancingo,Guerrero,Mexico,Sphere,UFO Spherical Very Bright (Semi-transparent) like a planet NO Aircraft or Naval Bases in the vicinity.,https://nuforc.org/sighting/?id=138618
2017-11-13 05:40:00,Ixtapaluca,México,Mexico,Flash,"Después de llevar a mi hermana a tomar su transporte para ir al trabajo volví a mi casa en mi moto, posteriormente baje de ella para ab",https://nuforc.org/sighting/?id=137236
2017-09-22 04:30:00,Tijuana,Baja California,Mexico,Light,BRIGHT LIGHT OVER TJ SUBURVS.,https://nuforc.org/sighting/?id=136301
2017-09-20 14:00:00,Mexico City,Ciudad de México,Mexico,Circle,Not seen with naked eye.,https://nuforc.org/sighting/?id=136402
2017-08-15 16:00:00,Etzatlan,Jalisco,Mexico,Rectangle,"Single glowing object observed sometime in late afternoon. As I recall, it was not moving. Took a picture. When enlarged it is rectangu",https://nuforc.org/sighting/?id=135844
2016-12-25 00:15:00,Salinas Victoria,Nuevo León,Mexico,Sphere,Orange light and star-like flashes in Salinas Victoria Nuevo Leon Mexico.,https://nuforc.org/sighting/?id=131885
2016-10-02 00:00:00,Mexico City,Ciudad de México,Mexico,,i was watching a webcam from Mexico on the Colima volcano..you get a new frame every 30 sec or so and all of a sudden there was a UFO a,https://nuforc.org/sighting/?id=130398
2016-07-27 03:33:00,Puebla,Puebla,Mexico,Other,Big objects almost rectangular.,https://nuforc.org/sighting/?id=128886
2016-07-10 19:00:00,Ensenada,Baja California,Mexico,Orb,Flashing light then sphere comes close floats in the air at pretty close range then disappears like a dimming light 6 people there.,https://nuforc.org/sighting/?id=128496
2016-02-11 22:00:00,Leon de los Aldama,Guanajuato,Mexico,Light,Two bright orange light that appeared in the sky over the Pacific Ocean . Disappears for 1min and reappear in a parallel allagment and,https://nuforc.org/sighting/?id=125799
2016-01-03 03:25:00,Playa del Carmen,Quintana Roo,Mexico,Disk,Bright dish with strong lights hovering over Cozumel Island.,https://nuforc.org/sighting/?id=125110
2015-12-20 22:00:00,Ciudad Sabinas Hidalgo,Nuevo León,Mexico,Circle,I saw a big red circle along wih my family members there had been reports of them on the news in monterrey mexico and this one was kind,https://nuforc.org/sighting/?id=129305
2015-07-29 13:30:00,Buena Vista Tomatlan,Michoacán,Mexico,Disk,Silver disc object over Mexican airspace,https://nuforc.org/sighting/?id=120708
2015-07-24 23:00:00,Ensenada,Baja California,Mexico,Light,A green light or craft that hovered for about one minute and then shot straight up into the sky.  Have pictures.,https://nuforc.org/sighting/?id=120643
2015-07-02 00:30:00,Campeche,Campeche,Mexico,Fireball,4 orange stripes in the sky.,https://nuforc.org/sighting/?id=119955
2015-03-09 21:00:00,Playa del Carmen,Quintana Roo,Mexico,Triangle,It was absolute in its deisgn and movement-purpose. My daughter and I will never forget that evening!,https://nuforc.org/sighting/?id=117876
2015-01-17 22:00:00,Leon de los Aldama,Guanajuato,Mexico,Cigar,My daughters and i were coming home about 10pm.  We started opening our gate when we looked up in the sky and saw a orange light.,https://nuforc.org/sighting/?id=116769
2015-01-10 13:00:00,Mexico City,Ciudad de México,Mexico,Disk,Stationary disc watches Mexican volcano erupting!!,https://nuforc.org/sighting/?id=116623
2015-01-08 23:13:00,Cancun,Quintana Roo,Mexico,Orb,"I took  these pictures on my iPad, I was only taking the moon at the time, but next day saw these on the picture. 2 long cylindrical sh",https://nuforc.org/sighting/?id=116947
2014-12-31 23:30:00,San Jose del Cabo,Baja California Sur,Mexico,Triangle,Two triangular lights over San Jose del Cabo New Year's eve.  I was not drinking.,https://nuforc.org/sighting/?id=116389
2014-12-30 03:00:00,Acapulco de Juarez,Guerrero,Mexico,Circle,"Large, bright circle seen descending quickly near the horizon.",https://nuforc.org/sighting/?id=116989
2014-12-25 00:00:00,Cabo San Lucas,Baja California Sur,Mexico,Teardrop,Cabo San Lucas Christmas lights.,https://nuforc.org/sighting/?id=116322
2014-11-10 17:30:00,Cozumel,Quintana Roo,Mexico,Orb,Green orb with 5 white dots.,https://nuforc.org/sighting/?id=115327
2014-10-25 11:10:00,Tijuana,Baja California,Mexico,Light,I saw about 7 starlike objects at 11 am. Very static. One of them was orangeish. One of them moved at a very slow velocity.,https://nuforc.org/sighting/?id=114801
2014-07-22 12:45:00,Ensenada,Baja California,Mexico,Flash,"First, I'd like to explain why I put ""N/A"" for number of witnesses.  My family and I were on vacation in Ensenada, Mexico.",https://nuforc.org/sighting/?id=111960
2014-06-19 04:00:00,Tulum,Quintana Roo,Mexico,Disk,"Encounter with grey followed by picture of UFO same day in Tulum, Mexico",https://nuforc.org/sighting/?id=119998
2014-04-19 20:00:00,San Jose del Cabo,Baja California Sur,Mexico,Other,Bright object approached from south and changed color and sped away.  Repeated 4 x in one hour.,https://nuforc.org/sighting/?id=108831
2014-04-05 21:00:00,Mexico City,Ciudad de México,Mexico,Triangle,"Photo texted to me by a female friend who lives here in Oakbrook, Illinois and her brother lives in Mexico.",https://nuforc.org/sighting/?id=108875
,Tenancingo,México,,,,https://nuforc.org/sighting/?id=107943
2014-03-18 19:30:00,Playa del Carmen,Quintana Roo,Mexico,Other,3 bird like crafts seen at night.,https://nuforc.org/sighting/?id=107855
2014-03-13 04:00:00,Ensenada,Baja California,Mexico,Light,"Static light over the city, it was lowering and raising its brightness intensity.  ((NUFORC Note:  Possible sighting of Venus?  PD))",https://nuforc.org/sighting/?id=107630
2014-02-20 20:00:00,Queretaro,Querétaro,Mexico,Oval,"Very smooth, arched flight path.",https://nuforc.org/sighting/?id=106684
2014-01-24 02:00:00,Mexico City,Ciudad de México,Mexico,Orb,"On 1/24/14, early am, 10 large orange orbs moved east  towards the Caribbean Sea over the Yucatan.",https://nuforc.org/sighting/?id=106284
2013-12-24 21:30:00,Tijuana,Baja California,Mexico,Triangle,Huge triangle shaped craft over Tijuana.,https://nuforc.org/sighting/?id=105704
2013-12-24 21:30:00,Monterrey,Nuevo León,Mexico,Fireball,Red and Yellow Flashing Object Moving Very slowly and Some other 4 with the same Shape Flying like in Formation,https://nuforc.org/sighting/?id=105110
2013-12-06 12:10:00,Puerto Vallarta,Jalisco,Mexico,Unknown,"Short vapor trail seen at very very high altitude over Puerto Vallarta, flying S to N at 12:10 PM..",https://nuforc.org/sighting/?id=104683
2013-11-09 18:45:00,Tijuana,Baja California,Mexico,Light,"Red/orange bright lights around 10, moving very slowly starting a formation.",https://nuforc.org/sighting/?id=106774
2013-10-25 11:11:00,Mexico City,Ciudad de México,Mexico,Cross,"Metalic objet in Mexico city.  ((NUFORC Note:  Photos show tiny, blurry, dark objects.  PD))",https://nuforc.org/sighting/?id=100055
2013-07-12 23:00:00,Cabo San Lucas,Baja California Sur,Mexico,Other,"((HOAX??))  The sky is very clear filled with an array of stars.  There is a yellowish, slightly reddish starlike object flashing.",https://nuforc.org/sighting/?id=117826
2013-05-01 21:00:00,Puerto Vallarta,Jalisco,Mexico,,Missing 2.15 hours with my Aunt while in Mexico ...both of us have no idea,https://nuforc.org/sighting/?id=97261
2013-04-20 18:15:00,Cabo San Lucas,Baja California Sur,Mexico,Other,11 +/- white 'dots' around the rising moon in Cabo,https://nuforc.org/sighting/?id=97181
2013-03-14 09:09:00,Guadalajara,Jalisco,Mexico,Diamond,Black Pyramidal UFO hovering over a Guadalajara Mexico,https://nuforc.org/sighting/?id=96557
2013-03-05 20:00:00,San Jose del Cabo,Baja California Sur,Mexico,Light,Rectangular flash of light fly ¾ of the way across the sky.  It flew across the sky very fast and disappeared ¾ of the way from reachin,https://nuforc.org/sighting/?id=99032
2013-03-01 23:00:00,Tepic,Nayarit,Mexico,Light,Three orange lights moving and hovering in Mexico.,https://nuforc.org/sighting/?id=96250
2013-02-07 10:30:00,San Carlos Yautepec,Oaxaca,Mexico,Oval,"On the beach in Mexico I saw a flat oval shaped bright shiny UFO high in the sky which hovered, turned and disappeard after 90 seconds.",https://nuforc.org/sighting/?id=95937
2013-01-13 00:10:00,Monterrey,Nuevo León,Mexico,Light,Red light approaching stopped his movement.,https://nuforc.org/sighting/?id=94764
2012-09-02 01:20:00,Puerto Vallarta,Jalisco,Mexico,Disk,"Off the balcony of our hotel in Puerto Vallarta, Mexico, my fiancé and myself observed 4 bright orange lights.  Others appeared, too.",https://nuforc.org/sighting/?id=92080
2012-08-22 19:00:00,San Jose del Cabo,Baja California Sur,Mexico,Light,3 UFO’s holding a triangular position adjacent to the moon for 2+ hours.,https://nuforc.org/sighting/?id=88029
2012-03-20 17:48:00,Puerto Vallarta,Jalisco,Mexico,Light,"There were two lights that were white and blue moving abnormally fast near the Sierra Madre Mountains in Puerto Vallarta, Jalisco, MX",https://nuforc.org/sighting/?id=87166
2012-02-09 23:45:00,Puerto Vallarta,Jalisco,Mexico,Other,"8 oranges lights with 3 dropping something into the ocean at Puerto Vallarta on 9  February 2012, at 23:00hrs.",https://nuforc.org/sighting/?id=87120
2012-02-09 19:50:00,Puerto Escondido,Oaxaca,Mexico,Sphere,"A sphere, changing from orange to white, passed over my home at around 7:30-7:40 tonight. There was no sound, but it was traveling at a",https://nuforc.org/sighting/?id=86885
2012-01-21 20:00:00,Puerto Vallarta,Jalisco,Mexico,Light,"Orange light in sky, silent, moving slowly.",https://nuforc.org/sighting/?id=86499
2012-01-05 05:53:00,Mexico City,Ciudad de México,Mexico,Light,1 White Light that Looked Like Moving Star. 2nd White Light Same but disappeared a few seconds later.,https://nuforc.org/sighting/?id=86035
2011-12-23 22:15:00,Tijuana,Baja California,Mexico,Fireball,"Fireballs in Tijuana,Mexico s night sky  Dec 23 2011",https://nuforc.org/sighting/?id=85669
2011-12-04 06:25:00,Monterrey,Nuevo León,Mexico,Light,An orange ball of light was faster than a plane or helicopter and disappeared,https://nuforc.org/sighting/?id=87855
2011-11-29 22:30:00,San Jose del Cabo,Baja California Sur,Mexico,Unknown,"UFO appeared, got fuzzy, disappeared, full moon appeared for few seconds then disappeared",https://nuforc.org/sighting/?id=85580
2011-11-24 22:00:00,Playa del Carmen,Quintana Roo,Mexico,Light,"Three sets of three red-coral neon lights in line, ""following"" one another, from mainland crossing to Cozumel island, in México",https://nuforc.org/sighting/?id=84998
2011-10-29 23:40:00,Tijuana,Baja California,Mexico,Sphere,fireball,https://nuforc.org/sighting/?id=84962
2011-10-21 22:30:00,San Jose del Cabo,Baja California Sur,Mexico,Light,"Flashing On and Off Star-Like light over San Jose del Cabo, Baja Sur, Mexico",https://nuforc.org/sighting/?id=84217
2011-09-18 22:30:00,Cabo San Lucas,Baja California Sur,Mexico,Other,Black flying object over Cabo San Lucas Hotel.  Had red lights coming from it from a distance.,https://nuforc.org/sighting/?id=83725
2011-09-05 04:00:00,Santiago Juxtlahuaca,Oaxaca,Mexico,Oval,flying flourescent lighted object that change directions fast.,https://nuforc.org/sighting/?id=84260
2011-08-15 20:15:00,Torreon,Coahuila,Mexico,Cigar,2 cigar like objects,https://nuforc.org/sighting/?id=81872
2011-06-21 18:00:00,Mexico City,Ciudad de México,Mexico,Disk,"I was lying on the ground looking out the window at the sky and was listening to my iPod , suddenly I started hearing static on it and",https://nuforc.org/sighting/?id=80955
2011-04-20 20:00:00,Mexico City,Ciudad de México,Mexico,Unknown,Boomerang shaped UFO noticed in viral youtube video clip.  ((NUFORC Note:  Possible bird in hovering flight??  PD)),https://nuforc.org/sighting/?id=80611
2011-03-26 09:35:00,Punta Prieta,Baja California,Mexico,Formation,Punta Mita Mexico. 8 inverted wing shape lights criss crossing each other.Appeared  like white lit birds in the dark sky,https://nuforc.org/sighting/?id=80521
2011-03-18 23:47:00,Cabo San Lucas,Baja California Sur,Mexico,Unknown,"Regular appearing and disappearing blinking lights over Cabo San Lucas, Mexico",https://nuforc.org/sighting/?id=80412
2011-03-09 03:00:00,San Luis Potosi,San Luis Potosí,Mexico,Other,Strange silent object hovering over my daughters bed,https://nuforc.org/sighting/?id=98709
2010-11-15 10:42:00,Tampico,Tamaulipas,Mexico,Disk,"UFO picture taken over the Tamesi River in Tampico, Mexico",https://nuforc.org/sighting/?id=78698
2010-11-02 18:50:00,Morelia,Michoacán,Mexico,Light,Strange lights in Morelia Mexico,https://nuforc.org/sighting/?id=78625
2010-10-29 20:20:00,Morelia,Michoacán,Mexico,Orb,Huge blue lights over Morelia Mexico,https://nuforc.org/sighting/?id=78628
2010-10-29 20:20:00,Morelia,Michoacán,Mexico,Light,"Amendment to prior form from Morelia, Mexico",https://nuforc.org/sighting/?id=78555
2010-10-23 18:00:00,Queretaro,Querétaro,Mexico,,"published in a local diary ""diario de queretaro"", it says many people have seen UFO's in my city, The date of the newspaper is 10/25/20",https://nuforc.org/sighting/?id=76839
2010-07-20 15:30:00,Xico,Veracruz,Mexico,Chevron,A small ovni in Mexicos Sky,https://nuforc.org/sighting/?id=76279
2010-05-15 12:00:00,Tulum,Quintana Roo,Mexico,Disk,You can clearly see a metallic disc craft in the top right corner of the photo above the mayan ruin. ((NUFORC Note:  Bird?  PD)),https://nuforc.org/sighting/?id=75342
2010-05-07 21:45:00,San Felipe,Guanajuato,Mexico,Light,Huge Bright White Light Flash in Desert Baja Sky,https://nuforc.org/sighting/?id=77581
2010-04-19 01:30:00,Progreso,Yucatán,Mexico,Triangle,2 large spacecrafts emitting 12+ spherical objects with incredible speed and agility.,https://nuforc.org/sighting/?id=74903
2010-04-05 19:00:00,Cancun,Quintana Roo,Mexico,Triangle,The object was glowing green and red. At times it went to just green and then white. Was usually green for the most part with red,https://nuforc.org/sighting/?id=74153
2010-01-08 18:45:00,Progreso,Yucatán,Mexico,,I was in the back yard next to the pool.  I live close to the ocean in a lonely place.  Sky was clear after a lot of rayni days.  I was,https://nuforc.org/sighting/?id=73955
2010-01-01 19:00:00,Jilotepec,México,Mexico,Diamond,AVISTAMIENTO DE OVNI SOBRE MEXICO.,https://nuforc.org/sighting/?id=71613
2009-08-11 20:36:00,Xalapa,Veracruz,Mexico,Other,Lighted circular craft flying over power plant in Mexico.,https://nuforc.org/sighting/?id=78630
2009-05-15 21:00:00,Puerto Vallarta,Jalisco,Mexico,Sphere,Huge Sphere over  Puerto Vallarta Mexico,https://nuforc.org/sighting/?id=69637
2009-04-10 11:00:00,Mexico City,Ciudad de México,Mexico,Sphere,The object was clearly flying over the Pyramids in Mexico City,https://nuforc.org/sighting/?id=69510
2009-04-03 11:20:00,Ensenada,Baja California,Mexico,Circle,"Walking along some hills east of Ensenada, Mexico with friends we saw three metalic balls at the top of a hill. At first we thought the",https://nuforc.org/sighting/?id=69331
2009-03-15 20:15:00,Cancun,Quintana Roo,Mexico,Light,"While on vacation in Cancun Mexico we stayed in the hotel  zone. On Sunday night March 15, 2009 at approximately 8:15 p.m., we were sit",https://nuforc.org/sighting/?id=69395
2009-03-14 18:30:00,Cancun,Quintana Roo,Mexico,Cigar,"cigar-shaped orange emitting light over the beach in Cancun, Mexico",https://nuforc.org/sighting/?id=69190
2009-03-07 19:50:00,Hermosillo,Sonora,Mexico,Light,I have captured a strange light when I took a photo from the moon in N Mexico.  ((NUFORC Note:  Lens flare??  PD)),https://nuforc.org/sighting/?id=69411
2009-01-01 00:25:00,Puerto Escondido,Oaxaca,Mexico,Sphere,Multiple Orange & Red Spheres Over Southern Mexico,https://nuforc.org/sighting/?id=67569
2008-12-21 11:30:00,Mexico City,Ciudad de México,Mexico,Sphere,Sphere with clear halo seen in Mexico City,https://nuforc.org/sighting/?id=67555
2008-12-19 22:25:00,Mexicali,Baja California,Mexico,Triangle,triangular shaped 3 lights incredible from north to south low to very high altitude aircraft event about 1 min. long.,https://nuforc.org/sighting/?id=102891
2008-12-12 00:00:00,Xico,Veracruz,Mexico,Light,Ball of light following plane for hours.,https://nuforc.org/sighting/?id=70412
2008-10-25 19:30:00,San Jose del Cabo,Baja California Sur,Mexico,Fireball,Orange fiery shapes at just above sea level  travelling in southern direction toward Cabo San Lucas,https://nuforc.org/sighting/?id=66087
2008-10-06 20:00:00,Cuernavaca,Morelos,Mexico,Flash,"Two star-like objects sighted in Cuernavaca, Mexico, one flashed and then both disappeared.",https://nuforc.org/sighting/?id=66036
2008-09-30 13:52:00,Tlaltenango de Sanchez Roman,Zacatecas,Mexico,Oval,"((HOAX))  UFO ON THE MIDDLE OF ZACATECAS, MEXICO",https://nuforc.org/sighting/?id=65488
2008-08-31 17:00:00,Cuernavaca,Morelos,Mexico,Cylinder,Cane shaped object spinning slowly,https://nuforc.org/sighting/?id=65466
2008-04-09 23:30:00,Playa del Carmen,Quintana Roo,Mexico,Circle,"ufo seen in playa del carmen, mexico",https://nuforc.org/sighting/?id=77431
2008-03-08 13:45:00,Guadalajara,Jalisco,Mexico,Other,"amorphous, floating balloon-like object in the sky",https://nuforc.org/sighting/?id=61600
